"","ABIES","ACER","ALNUSFRU","ALNUSUND","APIACEAE","ARTEMISIA","ASTERUND","BETUNANA","BETULA","BRASSICACEAE","CARPINUS","CHENOPODIACEAE","CORYLUS","CYPERACEAE","EPHEDRA","ERICACEAE","FAGUS","FRAXINUS","JUNIPERUS","LARIX","OLEA","PICEA","PINUSHAP","PINUS","PLANTAGO","POACEAE","QUERCUSEVER","QUERCUSDEC","SALIX","TILIA","ULMUS"
"K191",0,0,0,17.95,0,3.65,0,0,23.63,0,0,0.2,0,38.95,0,4.87,0,0,0,0,0,1.93,0,0,0,6.59,0,0,2.23,0,0
"K192",0,0,0,14.91,0,1.3,0,0,19.82,0,0,0,0,39.44,0,5.31,0,0,0,0,0,1.8,0,0.4,0,13.11,0,0,3.9,0,0
"K193",0,0,0,9.91,0,0.2,0,0,24.92,0,0,0,0,41.24,0,3.8,0,0,0,0,0,3.1,0,0,0,13.01,0,0,3.8,0,0
"K194",0,0,0,7.85,0,0.5,0,0,20.44,0,0,0,0,33.74,0,8.56,0,0,0,0,0,0.7,0,0,0,24.57,0,0,3.63,0,0
"K195",0,0,0,4.6,0,2.6,0,0,8.21,0,0,0.2,0,35.94,0,5.11,0,0,0,0,0,1.6,0,0,0,38.14,0,0,3.6,0,0
"K197",0,0,0,8.6,0,0.2,0,0,11,0,0,0,0,56.2,0,1.3,0,0,0,0,0,1.1,0,0,0,18.1,0,0,3.5,0,0
"K198",0,0,0,11.14,0,1.01,0,0,28.98,0,0,0.2,0,36.78,0,7.09,0,0,0,0,0,1.42,0,0,0,10.13,0,0,3.24,0,0
"K199",0,0,0,8.79,0,0.7,0,0,10.49,0,0,0,0,28.37,0,4.2,0,0,0,0,0,0.7,0,0,0,42.86,0,0,3.9,0,0
"K201",0,0,0,47.45,0,0.51,0,0,29.94,0,0,0,0,5.3,0,2.44,0,0,0,0,0,8.04,0,0,0,5.8,0,0,0.51,0,0
"K202",0,0,0,28.26,0,0.21,0,0,40.39,0,0,0,0,9.66,0,2.77,0,0,0,0,0,9.15,0,0,0,8.32,0,0,1.23,0,0
"K203",0,0,0,12.86,0,7.24,0,0,17.09,0,0,0,0,26.63,0,3.92,0,0,0,0,0,3.32,0,0,0,22.71,0,0,6.23,0,0
"K207",0,0,0,28.6,0,0,0,0,27.8,0,0,0,0,6.1,0,0.6,0,0,0,0,0,32.9,0,0,0,2.2,0,0,1.8,0,0
"K208",0,0,0,45.75,0,0.2,0,0,30.53,0,0,0,0,3,0,0,0,0,0.4,0,0,16.52,0,0,0,1.7,0,0,1.9,0,0
"K209",0,0,0,34.7,0,0.5,0,0,23.67,0,0,0,0,3.21,0,0.7,0,0,0,0,0,33.1,0,0,0,2.71,0,0,1.4,0,0
"K212",0,0,0,3.4,0,2.5,0,0,10.6,0,0,0,0,46.9,0,11.1,0,0,0,0,0,0.5,0,0,0,23.5,0,0,1.5,0,0
"K213",0,0,0,3.9,0,1.3,0,0,10.5,0,0,0,0,43.5,0,10.6,0,0,0,0,0,0.5,0,0,0,29.2,0,0,0.5,0,0
"K214",0,0,0,3.8,0,3.1,0,0,15.02,0,0,0,0,40.44,0,4.7,0,0,0,0,0,0.2,0,0,0,32.53,0,0,0.2,0,0
"K215",0,0,0,6.7,0,1,0,0,18.5,0,0,0,0,40.5,0,7.5,0,0,0,0,0,1.3,0,0,0,24.3,0,0,0.2,0,0
"K216",0,0,0,10.61,0,1.2,0,0,14.21,0,0,0,0,40.74,0,7.41,0,0,0,0,0,2.4,0,0.2,0,22.32,0,0,0.9,0,0
"K217",0,0,0,8.78,0,2.3,0,0,14.47,0,0,0,0,36.63,0,7.98,0,0,0,0,0,2,0,0.2,0,27.45,0,0,0.2,0,0
"K218",0,0,0,20.9,0,1.41,0,0,17.39,0,0,0,0,21.61,0,0,0,0,0,0,0,4.92,0,0.2,0,32.86,0,0,0.7,0,0
"K219",0,0,0,13.73,0,0.2,0,0,23.95,0,0,0,0,6.71,0,0.7,0,0,0,0,0,53.31,0,0,0,1.2,0,0,0.2,0,0
"K220",0,0,0,16.2,0,0,0,0,30.89,0,0,0,0,7.14,0,1.91,0,0,0,0,0,39.03,0,0,0,4.33,0,0,0.5,0,0
"K221",0,0,0,12.89,0,0.5,0,0,38.97,0,0,0,0,9.67,0,0.5,0,0,0,0,0,24.37,0,0.2,0,8.96,0,0,3.93,0,0
"K222",0,0,0,12.24,0,0.2,0,0,34.3,0,0,0,0,7.02,0,2.51,0,0,0,0,0,38.42,0,0,0,4.21,0,0,1.1,0,0
"K223",0,0,0,19.74,0,1.93,0,0,23.19,0,0,0,0,26.65,0,9.46,0,0,0,0,0,5.7,0,0,0,11.09,0,0,2.24,0,0
"K224",0,0,0,31.17,0,0.3,0,0,20.48,0,0,0,0,24.18,0,9.49,0,0,0,0,0,0.3,0,0,0,13.79,0,0,0.3,0,0
"K225",0,0,0,12.6,0,0.7,0,0,15.7,0,0,0,0,27.1,0,12.1,0,0,0,0,0,0.7,0,0,0,30.4,0,0,0.7,0,0
"K229",0,0,0,8.6,0,0.8,0,0,17.1,0,0,0,0,36.4,0,24.7,0,0,0,0,0,3.6,0,0,0,7.7,0,0,1.1,0,0
"K230",0,0,0,21.65,0,0.5,0,0,21.65,0,0,0,0,37.56,0,4.63,0,0,0,0,0,6.04,0,0,0,6.34,0,0,1.61,0,0
"K231",0,0,0,7.92,0,0.5,0,0,19.86,0,0,0,0,45.74,0,12.64,0,0,0,0,0,0.5,0,0,0,12.64,0,0,0.2,0,0
"K232",0,0,0,17.4,0,0,0,0,50.7,0,0,0,0,2.01,0,0.4,0,0,0,0.4,0,25.05,0,0,0,3.12,0,0,0.91,0,0
"K236",0,0,0,35.04,0,1.4,0,0,26.93,0,0,0,0,3.6,0,0.5,0,0,0.4,0,0,26.03,0,0.2,0,2.7,0,0,3.2,0,0
"K237",0,0,0,36.14,0,2.2,0,0,29.93,0,0,0,0,3.1,0,0.4,0,0,0.4,0,0,25.43,0,0.4,0,1.3,0,0,0.7,0,0
"K238",0,0,0,23.02,0,1.21,0,0,22.31,0,0,0,0,6.63,0,1.31,0,0,0,0,0,30.55,0,0.4,0,10.65,0,0,3.92,0,0
"K239",0,0,0,20.9,0,0.5,0,0,16.28,0,0,0,0,3.72,0,0.7,0,0,0,0,0,54.17,0,0.5,0,0.9,0,0,2.31,0,0
"K240",0,0,0,37.5,0,0.2,0,0,22.18,0,0,0,0,1.71,0,0.2,0,0,0,0,0,33.06,0,0,0,2.72,0,0,2.42,0,0
"K241",0,0,0,18.33,0,0.2,0,0,17.82,0,0,0,0,7.55,0,1.91,0,0,0,0,0,47.43,0,0.2,0,4.13,0,0,2.42,0,0
"K242",0,0,0,19.96,0,0,0,0,31.25,0,0,0,0,10.99,0,0.2,0,0,0,0,0,34.78,0,0,0,1.11,0,0,1.71,0,0
"K243",0,0,0,17.29,0,0.2,0,0,24.52,0,0,0,0,2.14,0,0,0,0,0,0,0,53.71,0,0.71,0,0.71,0,0,0.71,0,0
"K244",0,0,0,20.06,0,0,0,0,29.29,0,0,0,0,1,0,0.2,0,0,0,0,0,47.84,0,0.2,0,0.7,0,0,0.7,0,0
"K245",0,0,0,18.75,0,0,0,0,36.78,0,0,0,0,5.23,0,0.61,0,0,0,0,0,34.53,0,0.2,0,2.66,0,0,1.23,0,0
"K251",0,0,0,23.59,0,0,0,0,43.88,0,0,0,0,2.01,0,0.2,0,0,0,0,0,28.82,0,0,0,1.31,0,0,0.2,0,0
"K252",0,0,0,23.72,0,0.2,0,0,36.98,0,0,0,0,2.41,0,0.4,0,0,0,0,0,32.96,0,0,0,2.61,0,0,0.7,0,0
"K253",0,0,0,28.34,0,0.2,0,0,26.03,0,0,0,0,1.01,0,1.01,0,0,0,0,0,37.89,0,0,0,4.82,0,0,0.7,0,0
"K254",0,0,0,26.07,0,0.83,0,0,36.81,0,0,0,0,5.21,0,5.21,0,0,0,0,0,14.29,0,0,0,10.11,0,0,1.46,0,0
"K255",0,0,0,32.93,0,0.6,0,0,30.62,0,0,0,0,7.83,0,1.41,0,0,0,0,0,19.38,0,0,0,5.52,0,0,1.71,0,0
"K256",0,0,0,43.54,0,0.4,0,0,29.33,0,0,0,0,4.3,0,0.9,0,0,0,0,0,11.01,0,0,0,7.71,0,0,2.8,0,0
"K257",0,0,0,37,0,0.2,0,0,31.1,0,0,0,0,14.1,0,4.1,0,0,0,0,0,4.7,0,0.2,0,7.8,0,0,0.8,0,0
"K258",0,0,0,49.39,0,0.51,0,0,23.74,0,0,0,0,5.56,0,2.63,0,0,0,0,0,3.13,0,0,0,14.55,0,0,0.51,0,0
"K259",0,0,0,38.98,0,0.8,0,0,31.86,0,0,0,0,4.91,0,5.11,0,0,0,0,0,2.4,0,0,0,14.43,0,0,1.5,0,0
"K260",0,0,0,43.74,0,0,0,0,24.72,0,0,0,0,9.51,0,1.8,0,0,0,0,0,3.3,0,0,0,14.51,0,0,2.4,0,0
"K261",0,0,0,40.04,0,0.8,0,0,30.73,0,0,0,0,11.31,0,1.7,0,0,0,0,0,1.9,0,0,0,12.01,0,0,1.5,0,0
"K262",0,0,0,27.8,0,1.8,0,0,22.8,0,0,0,0,16.9,0,6.6,0,0,0,0,0,0.9,0,0,0,22.5,0,0,0.7,0,0
"K263",0,0,0,17.52,0,2,0,0,27.83,0,0,0,0,24.92,0,10.91,0,0,0,0,0,0.2,0,0,0,16.42,0,0,0.2,0,0
"K264",0,0,0,30.7,0,0.7,0,0,21.6,0,0,0,0,10.2,0,0.2,0,0,0,0,0,9.7,0,0,0,24.3,0,0,2.6,0,0
"K267",0,0,0,43.1,0,1.2,0,0,17.6,0,0,0,0,10.7,0,3.4,0,0,0,0,0,0.5,0,0,0,20.8,0,0,2.7,0,0
"K269",0,0,0,10.4,0,1,0,0,29.6,0,0,0,0,17.2,0,9.8,0,0,0,0,0,0.8,0,0,0,29.8,0,0,1.4,0,0
"K270",0,0,0,11.01,0,1.1,0,0,25.23,0,0,0,0,22.52,0,6.91,0,0,0,0,0,0.2,0,0,0,31.53,0,0,1.5,0,0
"K271",0,0,0,5.89,0,0.9,0,0,17.58,0,0,0,0,22.28,0,8.59,0,0,0,0,0,0.2,0,0,0,43.26,0,0,1.3,0,0
"K272",0,0,0,6.41,0,1,0,0,16.62,0,0,0,0,31.33,0,6.11,0,0,0,0,0,0.8,0,0,0,37.14,0,0,0.6,0,0
"K273",0,0,0,9.4,0,0,0,0,17,0,0,0,0,23.4,0,7.5,0,0,0,0,0,0.9,0,0,0,41.3,0,0,0.5,0,0
"K274",0,0,0,13.4,0,0.2,0,0,20.1,0,0,0,0,17.9,0,5.2,0,0,0,0,0,1.1,0,0.2,0,41.1,0,0,0.8,0,0
"K275",0,0,0,11.91,0,0.4,0,0,26.33,0,0,0,0,17.42,0,12.41,0,0,0,0,0,1.1,0,0,0,29.63,0,0,0.8,0,0
"K276",0,0,0,5.71,0,0.2,0,0,16.02,0,0,0,0,26.83,0,8.51,0,0,0,0,0,0.8,0,0,0,41.54,0,0,0.4,0,0
"K277",0,0,0,7,0,1.3,0,0,12.1,0,0,0,0,32.7,0,7.5,0,0,0,0,0,1.8,0,0,0,36,0,0,1.6,0,0
"K278",0,0,0,54.6,0,0.92,0,0,12.99,0,0,0,0,10.63,0,2.35,0,0,0,0,0,1.43,0,0,0,16.36,0,0,0.72,0,0
"K279",0,0,0,14.2,0,1.3,0,0,18.5,0,0,0,0,24.3,0,8.1,0,0,0,0,0,1.3,0,0,0,31.3,0,0,1,0,0
"R050",0,0,0,76.57,0,0,0,0,11.56,0,0,0,0.32,0.48,0,0,0,0,0,0,0,0.8,0,5.94,0.16,2.57,0,0.16,1.12,0.32,0
"R051",0,0,0,21.48,0.74,1.11,0,0,30.37,0,0,0.74,0,0,0,0.37,0,0,0,0,0,4.81,0,23.7,0.37,5.19,0,0,0.37,8.89,1.85
"R052",0,0,0,6.35,0,0,0.4,3.97,43.65,0,0,0,0,0.79,0,3.17,0,0,0,0,0,3.17,0,37.3,0.4,0.4,0,0,0.4,0,0
"R053",0,0,0,7.78,0,0,0,6.11,23.33,0,0,0.56,0,15,0,3.89,0,0,0,0,0,6.11,0,36.11,0.56,0.56,0,0,0,0,0
"R054",0,0,0,4.69,0,0.39,0,0,58.59,0,0,0.78,0,7.81,0,0.78,0,0,0,0,0,2.34,0,23.05,0,1.56,0,0,0,0,0
"R055",0,0,0,3.2,0.18,0.53,0.18,2.31,20.82,0,0,0.18,0,2.67,0,0.18,0,0,0,0,0,7.47,0,60.68,0.18,1.25,0,0,0.18,0,0
"R056",0,0,0,2.32,0.18,0.18,0.18,0.71,18,0,0,0.36,0,1.07,0,0.36,0,0,0,0,0,5.53,0,68.98,0,1.78,0,0,0.18,0,0.18
"R057",0,0,0,12.7,0,2.46,0.2,1.23,27.25,0,0,0.82,0,0.61,0,0.2,0,0,0,0,0,0.41,0,50.61,0,3.07,0,0,0.41,0,0
"R058",0,0,0,5.12,0.16,0.64,0,0.48,10.24,0.32,0,0.8,0,0.16,0,0.32,0,0,0,0,0,1.12,0,78.24,0,2.24,0,0,0,0,0.16
"R059",0.26,0,0,4.72,0,0.79,0,7.09,41.99,0,0,0.52,0,0.52,0,0,0,0,0,0,0,18.37,0,22.05,0,3.41,0,0,0.26,0,0
"R060",0,0,0,1.92,0,0.21,0,3.21,14.53,0,0,0.43,0,5.56,0,1.71,0,0,0,0,0,1.71,0,68.38,0,2.14,0,0,0.21,0,0
"R061",0.5,0,0,0,0,26.37,0,0,15.42,6.47,0,13.93,0,0,17.91,0,0,0,0,0,0,4.98,9.45,0,0,4.98,0,0,0,0,0
"R062",0.64,0,0,0,0,15.38,3.85,0,12.18,0.64,0,35.26,0,0,0.64,0,0,0,0,3.21,0,5.13,10.26,0,0,12.82,0,0,0,0,0
"R063",0,0,0,0,0,7.19,0.65,0,12.42,5.88,0,31.37,0,3.92,0,0,0,0,0,1.31,0,3.92,3.27,1.96,0,28.1,0,0,0,0,0
"R064",0,0,0,0,0,3.16,0.63,0,1.9,1.9,0,79.11,0,1.9,1.58,0,0,0,0,0,0,0.32,0,0.63,0,8.86,0,0,0,0,0
"R065",0,0,0,0,0.43,30.11,1.51,0,9.89,0,0,14.19,0,1.51,1.94,0,0,0,0,0,0,3.01,0,30.11,0,7.31,0,0,0,0,0
"R066",0,0,0,0,0,25.25,5.9,0,3.28,0,0,10.16,0,4.59,3.61,0,0,0,0,1.15,0,3.77,2.3,6.56,0,33.44,0,0,0,0,0
"R067",0,0,0,0,0,22.18,3.33,0,0.55,0,0,31.42,0,9.24,0.92,0,0,0,0,0.55,0,1.48,0,22.92,0,7.39,0,0,0,0,0
"R068",0,0,0,0,2.75,10.31,0.69,0,6.53,0,0,23.37,0,0.34,2.06,0,0,0,0,0.69,0,1.03,0,49.48,0,2.75,0,0,0,0,0
"R069",0,0,0,0,0,23.26,22.38,0,1.16,2.62,0,31.98,0,0.87,3.78,0,0,0,0,0.29,0,0.58,0.58,7.27,0,5.23,0,0,0,0,0
"R070",0,0,0,0,0,14.52,0.66,0,0.66,0,0,75.91,0,0.99,0,0,0,0,0,0,0,0,0,6.6,0,0.66,0,0,0,0,0
"R071",0,0,0,0,0,46.3,4.63,0,1.39,0.46,0,14.81,0,0.93,0,0,0,0,0,4.17,0,0,0,1.85,0,25.46,0,0,0,0,0
"R072",0,0,0,0,0,16.03,0.2,0,1.6,1.2,0,24.05,0,1.4,34.07,0,0,0,0,0,0,0.2,0,20.64,0,0.6,0,0,0,0,0
"R073",0,0,0,0,0.51,40.61,1.02,0,0,0,0,20.3,0,10.15,10.15,0,0,0,0,0,0,0,0,2.03,0,15.23,0,0,0,0,0
"R074",0,0,0,0,0.43,4.78,0.43,0,3.48,0.87,0,63.91,0,1.74,1.74,0,0,0,0,0,0,1.3,2.61,5.22,0,13.48,0,0,0,0,0
"R075",0,0,0,0,0,6.74,1.87,0,4.12,2.25,0,2.62,0,5.24,0.37,0,0,0,0,15.73,0,2.25,31.46,8.24,0,19.1,0,0,0,0,0
"R076",0,0,0,0,0,2.21,2.21,0,2.21,2.21,0,4.41,0,2.21,0,0,0,0,0,2.94,0,5.15,36.76,9.56,0,30.15,0,0,0,0,0
"R077",0,0,0,0,0,1.26,3.36,0,8.4,2.52,0,3.78,0,11.34,0,0,0,0,0,5.46,0,6.3,20.17,27.73,0,9.66,0,0,0,0,0
"R078",0,0,0,0,1.06,7.94,2.12,0,8.47,2.65,0,3.17,0,0,0,1.06,0,0,0,21.16,0,2.12,21.69,15.34,0,13.23,0,0,0,0,0
"R079",0,0,0,0,0,16.22,0,0,0,0,0,2.7,0,0,0,0,0,0,0,10.81,0,0,35.14,21.62,0,13.51,0,0,0,0,0
"R080",0,0,0,0,0,4.92,3.28,0,16.39,12.3,0,1.64,0,0.82,0,0.82,0,0,0,6.56,0,3.28,20.49,14.75,0,14.75,0,0,0,0,0
"R081",0,0,0,0,0,3.29,5.26,0,5.92,4.61,0,3.29,0,5.26,0,0,0,0,0,7.24,0,3.95,15.79,26.32,0,19.08,0,0,0,0,0
"R082",0,0,0,0,2.08,18.75,0,0,20.83,0,0,0,0,4.17,0,0,0,0,0,29.17,0,0,0,14.58,0,10.42,0,0,0,0,0
"R083",0,0,0,0,0,59.36,2.28,0,1.37,0,0,4.57,0,4.57,1.83,0.91,0,0,0,5.02,0,0.46,5.02,0.91,0,13.7,0,0,0,0,0
"R084",0,0,0,0,0,5.65,7.26,0,1.21,0,0,11.69,0,3.63,31.85,0,0,0,0,4.84,0,0.4,20.16,12.5,0,0,0,0,0.81,0,0
"R085",0,0,0,0,0.17,32.7,19.28,0,0.52,2.24,0,24.1,0,1.2,0.86,0,0,0,0,0.52,0,0,10.15,7.06,0,1.2,0,0,0,0,0
"R086",0,0,0,0,0.35,32.75,5.92,0,8.36,0,0,4.53,0,1.74,0.7,0,0,0,0,0.7,0,0,17.42,3.83,0,23.69,0,0,0,0,0
"R087",0,0,0,0,5.13,17.95,2.56,0,2.56,1.28,0,3.85,0,0,0,0,0,0,0,26.92,0,0,16.67,0,0,23.08,0,0,0,0,0
"R088",0,0,0,0,0,40,11.71,0,6.34,10.73,0,13.17,0,0.49,0.98,0,0,0,0,0.98,0,0,2.44,10.73,0,2.44,0,0,0,0,0
"R089",0,0,0,0,1.37,19.18,1.37,0,2.74,18.49,0,4.79,0,0.68,3.42,0,0,0,0,0.68,0,0,35.62,0.68,0,10.96,0,0,0,0,0
"R090",0,0,0,0,2.65,12.39,0,0,3.54,0,0,0,0,11.5,2.65,0,0,0,0,0,0,0,21.24,7.96,0,38.05,0,0,0,0,0
"R091",0,0,0,0,0,59.57,1.81,0,1.81,0,0,20.4,0,3.61,0,0,0,0,0,0,0,0,1.99,3.61,0,7.22,0,0,0,0,0
"R092",0,0,0,0,2.48,32.43,0.99,0,2.48,1.98,0,10.4,0,4.95,0.25,0,0,0,0,0,0,0,1.73,1.49,0,40.84,0,0,0,0,0
"R093",0,0,0,0,0,46.77,0,0,12.9,0,0,19.35,0,0,0,0,0,0,0,0,0,0,0,4.84,0,16.13,0,0,0,0,0
"R094",0,0,0,0,0,36.96,2.72,0,3.11,19.46,0,2.72,0,10.89,0,0,0,0,0,0,0,0,9.34,0,0,14.79,0,0,0,0,0
"R095",0,0,0,0,0,51.69,0.56,0,0.56,14.04,0,16.29,0,0,0.56,0,0,0,0,2.25,0,0.56,6.18,3.37,0,3.93,0,0,0,0,0
"R096",0,0,0,0,0,24.22,3.13,0,14.06,9.38,0,28.13,0,1.56,2.34,0,0,0,0,0,0,0,4.69,1.56,0,10.94,0,0,0,0,0
"R097",0,0,0,0,0,16.36,0.37,0,4.09,1.12,0,68.03,0,0.74,1.49,0,0,0,0,0,0,0,3.35,0,0,4.46,0,0,0,0,0
"R098",0,0,0,0,0.36,33.21,12.64,0,3.25,11.19,0,6.86,0,0.36,1.08,0,0,0,0,0,0,0,22.38,7.94,0,0.72,0,0,0,0,0
"R099",0,0,0,0,0,31.79,0,0,6.62,0,0,43.05,0,1.99,0.66,0,0,0,0,0,0,0,13.25,1.32,0,1.32,0,0,0,0,0
"R141",0,0,0,0.61,0.3,34.15,3.66,0,32.93,0,0,7.32,0,1.22,0.61,0.3,0,0,0,0,0,3.05,0,7.32,0,7.32,0,0,0.61,0,0.61
"R142",0.45,0,0,2.69,0,2.69,1.79,0,5.83,0,0,1.35,0.45,1.35,0,3.14,0,0,0,0.9,0,30.04,0,47.98,0,0.9,0,0,0.45,0,0
"R143",0,0,0,0,0,21.85,1.68,0,5.88,0,0,4.62,0,15.13,0,0,0,0,0,2.94,0,0.42,0,31.93,0,15.13,0,0,0.42,0,0
"R144",0,0,0,0,0,21.94,1.29,0,1.29,0.65,0,23.23,0,7.74,0.65,0,0,0,0,12.9,0,5.16,0,21.94,0,2.58,0,0,0.65,0,0
"R145",0,0,0,0,0.22,20.55,2.62,0,1.75,0.22,0,2.19,0,24.92,0.87,0,0,0,0,4.37,0,0.17,0,23.17,0,17.93,0,0,0.87,0,0.13
"R146",0,0,0,0,0,29.83,1.36,0,4.41,0,0,3.39,0,18.31,0.34,0.68,0,0,0,2.03,0,0,0,32.88,0,6.78,0,0,0,0,0
"R147",0,0,0,0,0.28,47.06,7.28,0,2.24,0,0,6.72,0,2.8,0.56,0,0,0,0,2.8,0,0,0,16.25,0,13.45,0,0,0.56,0,0
"R148",0,0,0,0,0,34.92,3.63,0,0.68,0,0,28.12,0,9.52,0.23,0,0,0,0,2.49,0,0.23,0,12.24,0,7.71,0,0,0.23,0,0
"R149",0.25,0,0,0,0,27.93,1,0,2.49,0.25,0,2.99,0,29.93,1.5,0,0,0,0,2,0,0.25,0,25.44,0,5.99,0,0,0,0,0
"R150",0,0,0,0,0,26.92,2.2,0,0.22,0,0,1.65,0,45.6,4.4,0,0,0,0,2.2,0,0,0,3.3,0,13.19,0,0,0.33,0,0
"R151",0,0,0,0,0,22.65,0.96,0,0.24,0.48,0,3.86,0,51.57,2.41,0,0,0,0,2.89,0,0.72,0,7.23,0,6.02,0,0,0.96,0,0
"R152",0,0,0,0,0,49.2,0.32,0,1.28,0,0,3.83,0,10.86,3.83,0,0,0,0,0,0,0,0,5.75,0,24.92,0,0,0,0,0
"R153",0,0,0,0,0.37,21.48,0.74,0,0.74,0.74,0,8.89,0,26.67,4.44,0,0,0,0,1.48,0,0,0,12.96,0,21.48,0,0,0,0,0
"R154",0,0,0,0,0,25,2.17,0,0,6.52,0,2.17,0,30.43,3.26,0,0,0,0,6.79,0,0,0,4.08,0,19.57,0,0,0,0,0
"R155",0,0,0,0,0.29,12.87,2.92,0,0.58,0,0,5.26,0,51.46,0.29,0,0,0,0,2.05,0,0.29,0,9.36,0,14.62,0,0,0,0,0
"R156",0,0,0,0.28,0,65.56,1.11,0,0.83,0,0,8.33,0,10.56,1.11,0,0,0,0,0,0,0.11,0,7.22,0,4.44,0,0,0.44,0,0
"R157",0,0,0,0,0,52.82,6.34,0,0.14,0.35,0,25.35,0,6.34,0.35,0,0,0,0,0,0,0.07,0,1.83,0,6.34,0,0,0.07,0,0
"R158",0,0,0,0.44,0,77.43,3.1,0,0.88,1.77,0,4.42,0,3.54,1.77,0,0,0,0,0,0,0,0,1.33,0,4.87,0,0,0.44,0,0
"R159",0,0,0,0,0,39.49,0.14,0,0.45,0,0,46.75,0.09,0.91,0.91,0,0,0,0,0.09,0,0.18,0,9.17,0.91,0.91,0,0,0,0,0
"R160",0,0,0,0.83,0,31.4,0.83,0,4.96,0.83,0,36.36,0,0.83,0,0,0,0,0,1.65,0,0.83,0,9.92,4.13,7.44,0,0,0,0,0
"R161",0,0,0,0,0,15.85,2.44,0,1.83,0,0,5.49,0,3.66,0.61,0,0,0,0,0,0,0,0,3.66,0,10.98,0,0,55.49,0,0
"R162",0.13,0,0,0.4,0,35,4,0,0.57,0.5,0,33,0.2,8,2,0,0,0,0,0.2,0,0.45,0,4.42,0,11,0,0,0.13,0,0
"R163",0,0,0,2.85,2.03,2.03,0,0,19.51,0,0,1.22,2.85,2.03,0,0,0,0,0,0,0,14.23,0,48.78,0,2.03,0,0,0,1.22,1.22
"R188",0,0,0,0.31,0.93,63.78,1.86,0,3.41,0,0,22.91,0,0.31,0.31,0,0,0,0,0,0,0,0,0.62,0.31,4.95,0,0,0,0,0.31
"R189",0,0,0,0.4,0.4,31.87,5.98,0,1.59,1.99,0,37.45,0,0,0,0,0,0,0,0,0,0,0,1.2,0,18.33,0,0,0,0.4,0.4
"R190",0,0,0,2.29,0,38.99,1.38,0,0.46,0.92,0.92,47.25,0.46,0,0.92,0,0,0,0,0,0,0,0,1.38,0,5.05,0,0,0,0,0
"R191",0,0,0,0.51,0,20.3,2.03,0,0.51,0,0,70.05,0,0,1.02,0,0,0,0,0,0,0,0,0.51,0,5.08,0,0,0,0,0
"R192",0,0,0,0,0,40.52,3.92,0,3.27,0.65,0,43.79,0,0.65,1.31,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0
"R193",0,0,0,0,0,12.43,10.27,0,0.54,0,0,53.51,0,0,0,0,0,0,0,0,0,0,0,2.16,0,21.08,0,0,0,0,0
"R194",0,0,0,0,0,3.94,0.91,0,0.61,0,0,90.61,0,0.61,0.3,0,0,0,0,0,0,0,0,0.3,0,2.12,0,0,0,0,0.61
"R195",0,0,0,0,0,20.72,0.66,0,0.33,0,0,74.34,0,0.66,1.97,0,0,0,0,0,0,0,0,0.33,0,0.99,0,0,0,0,0
"R196",0,0,0,0,0,43.69,1.35,0,1.35,0,0,39.64,0,0,5.86,0,0,0,0,0,0,0,0,6.76,0,1.35,0,0,0,0,0
"R197",0.24,0,0,0,1.95,44.63,0.24,0,1.22,0,0,37.32,0,0,0.24,0,0,0,0,0,0,0,0,0,0.49,13.17,0,0,0,0.24,0.24
"R198",0.34,0,0,0,0,28.42,3.08,0,1.37,0,0,60.62,0,0,0.34,0,0,0,0,0,0,0,0,0.34,0,5.14,0,0,0,0,0.34
"R199",2.05,0,0,0,1.75,42.69,1.75,0,1.46,0,0,39.47,0,0,6.43,0,0,0,0,0,0,0.29,0,2.34,0,1.75,0,0,0,0,0
"R200",0,0,0,0,0,31.6,0.43,0,0,0,0,65.8,0,0,0.87,0,0,0,0,0,0,0,0,0.43,0,0.87,0,0,0,0,0
"R201",0,0,0,0,0,42.64,0.51,0,0,1.02,0,46.7,0,0,0,0,0,0,0,0,0,0,0,0,1.02,8.12,0,0,0,0,0
"R202",0,0,0,0,0.7,11.97,9.15,0,0,0.7,0,10.56,0,0,46.48,0,0,0,0,0,0,12.32,0,0,0,8.1,0,0,0,0,0
"R203",0,0,0,0,0,32.41,0.93,0,0,0,0,42.59,0,0,9.26,0,0,0,0,0,0,4.63,0,0,0,4.63,0,0,5.56,0,0
"R204",28.3,0,0,0,0.94,3.3,0.94,0,5.19,0,0,6.6,0,0.47,0,0,0,0,0,24.06,0,4.72,0,18.87,0,5.19,0,0,1.42,0,0
"R205",0.44,0,0,0.44,0,16.37,9.29,0,27.43,2.21,0,9.29,0,3.1,0,0,0,0,0,0,0,0,0,10.18,0,21.24,0,0,0,0,0
"R206",0,0,0,0,0,47.77,4.12,0,19.24,2.06,0,18.9,0,2.06,1.03,0,0,0,0,0,0,0,0,1.37,0,3.09,0,0,0.34,0,0
"R207",0,0,0,0.29,0,27.03,5.23,0,31.1,0,0,6.4,0,2.62,0.58,0,0,0,0,0,0,0.29,0,11.05,0,13.66,0,0,1.74,0,0
"R208",0,0,0,0.3,0,32.42,3.64,0,19.7,0,0,8.48,0,0.61,0,0,0,0,0,0,0,0.3,0,26.36,0,7.88,0,0,0.3,0,0
